Reference,Value,LCSC Part #,,Quantity v0.1,Quantity v1.0,,Mulitplier,Quantitiy,,Current Stock,,Order Quantity,Order LCSC Part #
"U4, U9",TXB0104RUT,C105266,,2,2,,10,20,,20,,0,
J4,Conn_01x30_Female,C11095,,1,1,,10,10,,10,,0,
R13,2.2kΩ,C113303,,1,1,,10,10,,100,,0,
"R6, R8, R16, R18",470Ω,C116694,,4,4,,10,40,,100,,0,
Q3 ,BSN20,C118033,,1,1,,10,10,,0,,10,C118033
U13 ,"PCA9539BS,118",C129516,,1,1,,10,10,,0,,10,C129516
SW1,K1-1506SN-01,C145910,,1,1,,10,10,,10,,0,
"C1, C2, C3, C5, C6, C7, C9, C10, C11, C12, C13, C14, C15, C16, C17, C19, C20, C22, C24, C25, C27, C32, C35, C38",100nF,C14663,,24,26,,10,260,,300,,0,
U5,MCP73831-2-OT,C14879,,1,1,,10,10,,10,,0,
U11,TLV1117-33,C15578,,1,1,,10,10,,40,,0,
"C28, C30",1µF,C15849,,2,2,,10,20,,50,,0,
U1,LIS2DE12,C189624,,1,1,,10,10,,10,,0,
"C33, C34","4,7µF",C19666,,2,2,,10,20,,50,,0,
"C4, C8, C18, C21, C23, C26, C29, C31, C37, C40",10µF,C19702,,10,12,,10,120,,100,,20,C19702
"Q1, Q2",S8050,C2146,,2,2,,10,20,,20,,0,
R11,10Ω,C22859,,1,1,,10,10,,100,,0,
R29,30kΩ 1%,C22984,,1,1,,10,10,,100,,0,
R20,300kΩ,C23024,,1,1,,10,10,,100,,0,
R27,560kΩ,C23203,,1,1,,10,10,,100,,0,
R28,620kΩ 1%,C23219,,1,1,,10,10,,100,,0,
"D11, D19",DO-214AC,C2480,,2,2,,10,20,,20,,0,
R24,56Ω,C25196,,1,1,,10,10,,100,,0,
R21,100KΩ,C25803,,1,1,,10,10,,100,,0,
"R1, R2, R3, R4, R5, R7, R9, R10, R12, R14, R15, R17, R19, R22, R23, R26",10kΩ,C25804,,16,21,,10,210,,200,,10,C25804
U7,RM-V8xxC_TR1,C264267,,1,1,,10,10,,10,,0,
J3,Micro_SD_Card,C266621,,1,1,,10,10,,10,,0,
M1 ,Motor_DC,C2685995,,1,1,,10,10,,0,,10,C2685995
D18,LED-IR,C2759909,,1,1,,10,10,,10,,0,
F1,Polyfuse,C2830230,,1,1,,10,10,,20,,0,
SW2,SW_SPST,C319020,,1,1,,10,10,,10,,0,
U6,PPSI262,C328758,,1,1,,10,10,,10,,0,
R25,82Ω,C4275,,1,1,,10,10,,100,,0,
J1,RJ45_Shielded,C464587,,1,1,,10,10,,10,,0,
U12,SGP30,C514454,,1,1,,10,10,,10,,0,
"C36, C39",22µF,C59461,,2,2,,10,20,,50,,0,
"D16, D17",1N4148WT,C727112,,2,3,,10,30,,50,,0,
U10,SDB628,C77805,,1,1,,10,10,,10,,0,
U8,TLV70018_SOT23-5,C79924,,1,1,,10,10,,10,,0,
U2,ESP32-WROOM-32,C82899,,1,1,,10,10,,9,,1,C82899
D14,LED-RED,C84256,,1,1,,10,10,,50,,0,
D15,LED-GREEN,C84257,,1,1,,10,10,,50,,0,
U3,SRV05-4,C85364,,1,1,,10,10,,10,,0,
"D1, D2, D3, D4, D5, D6, D7, D8, D9, D10, D12, D13",WS2812B,C965557,,12,12,,10,120,,120,,0,
L1,"4,7µH",C98021,,1,1,,10,10,,10,,0,
