"Designator","Mid X","Mid Y","Layer","Rotation"
"J2","173.25mm","-130mm","top","0.0"
"J4","146mm","-86mm","top","180.0"
"D13","120.6mm","-58.05mm","top","47.0"
"D12","172mm","-149mm","top","180.0"
"D11","111mm","-80mm","top","90.0"
"D10","181mm","-140mm","top","270.0"
"D8","111mm","-100mm","top","90.0"
"D7","181mm","-120mm","top","270.0"
"D6","111mm","-120mm","top","90.0"
"D5","181mm","-100mm","top","270.0"
"D4","111mm","-140mm","top","90.0"
"D3","181mm","-80mm","top","270.0"
"D2","120mm","-149mm","top","180.0"
"D1","174.07mm","-59.62mm","top","308.5"
"R6","159.9mm","-62.2mm","top","0.0"
"R12","140.75mm","-68mm","top","180.0"
"R8","152.25mm","-68mm","top","180.0"
"J1","142.35mm","-57.99mm","top","0.0"
"D15","132.13mm","-52.5mm","top","0.0"
"D14","159.87mm","-52.5mm","top","0.0"
"R19","162.8mm","-132.6mm","top","180.0"
"R14","123.6mm","-138mm","top","270.0"
"U9","118.7mm","-136.2mm","top","180.0"
"U11","121.5mm","-126mm","top","180.0"
"U10","130.2mm","-116mm","top","0.0"
"U8","127.5mm","-68mm","top","90.0"
"U5","126mm","-137.7mm","top","90.0"
"U4","146mm","-68.75mm","top","270.0"
"R29","133.6mm","-116.2mm","top","270.0"
"R28","135.4mm","-116.2mm","top","270.0"
"R27","153.8mm","-92.6mm","top","270.0"
"R26","138.3mm","-92.6mm","top","90.0"
"R25","118.75mm","-132.5mm","top","180.0"
"R24","118.75mm","-131mm","top","0.0"
"R23","132.13mm","-60mm","top","0.0"
"R22","159.87mm","-60mm","top","0.0"
"R21","170.4mm","-141.2mm","top","270.0"
"R20","130.5mm","-68mm","top","90.0"
"R18","164mm","-141.2mm","top","90.0"
"R17","165.6mm","-141.2mm","top","270.0"
"R16","162.2mm","-141.2mm","top","90.0"
"R15","133mm","-138.7mm","top","90.0"
"R13","148.3mm","-120.8mm","top","270.0"
"R11","143.8mm","-120.8mm","top","270.0"
"R10","134.6mm","-138.7mm","top","90.0"
"R9","149.2mm","-68.8mm","top","270.0"
"R7","142.2mm","-120.8mm","top","270.0"
"R5","134.6mm","-128.8mm","top","270.0"
"R4","129.8mm","-128.8mm","top","270.0"
"R3","133.8mm","-122.8mm","top","0.0"
"R2","129mm","-122.8mm","top","0.0"
"R1","143.8mm","-103.6mm","top","90.0"
"Q2","133.6mm","-125.4mm","top","0.0"
"Q1","128.8mm","-125.4mm","top","0.0"
"L1","134.6mm","-112.6mm","top","0.0"
"J3","117mm","-74mm","top","90.0"
"D18","135.2mm","-119.8mm","top","180.0"
"D17","138.3mm","-98mm","top","90.0"
"D16","138.3mm","-95.4mm","top","90.0"
"C32","123.6mm","-142mm","top","270.0"
"C31","137.2mm","-116.2mm","top","90.0"
"C30","126.8mm","-128.8mm","top","90.0"
"C29","118.8mm","-139mm","top","180.0"
"C28","130.8mm","-112.6mm","top","0.0"
"C27","121.5mm","-136.1mm","top","270.0"
"C26","157.4mm","-92.6mm","top","270.0"
"C25","133.6mm","-92.6mm","top","270.0"
"C24","130.8mm","-110.8mm","top","180.0"
"C23","159.2mm","-92.6mm","top","270.0"
"C22","135.2mm","-92.6mm","top","270.0"
"C21","130.8mm","-109mm","top","180.0"
"C20","121.75mm","-131mm","top","0.0"
"C19","155.6mm","-92.6mm","top","270.0"
"C18","123.25mm","-74mm","top","270.0"
"C17","124.75mm","-68mm","top","90.0"
"C16","168.4mm","-141.2mm","top","270.0"
"C15","163mm","-136.8mm","top","270.0"
"C14","120.8mm","-61.6mm","top","180.0"
"C13","175.8mm","-148mm","top","180.0"
"C12","112mm","-83.775mm","top","270.0"
"C11","176.8mm","-141.2mm","top","270.0"
"C10","112.2mm","-123.6mm","top","270.0"
"C9","180mm","-116.2mm","top","90.0"
"C8","112.2mm","-103.4mm","top","270.0"
"C7","180.2mm","-103.4mm","top","270.0"
"C6","148mm","-103.6mm","top","90.0"
"C5","112.2mm","-143.425mm","top","270.0"
"C4","180.2mm","-83.6mm","top","270.0"
"C3","146.2mm","-103.6mm","top","90.0"
"C2","123.2mm","-148mm","top","0.0"
"C1","170.8mm","-64.2mm","top","270.0"
"U2","146mm","-134mm","top","180.0"
"SW2","113mm","-130mm","top","270.0"
"U1","146mm","-100mm","top","0.0"
